#,Player,Pos,Team,AVG,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL
111,Gabe Davis,WR,BUF,9.6,5.2,21.2,10.3,15.1,22,3.1,1.6,23.7,0,9.6,0,22.5,-,0,0,,,,134.3
112,Najee Harris,RB,PIT,9.5,5.3,5.3,6.5,11.3,5,-,15.8,10.5,15.6,18.6,4.6,15.9,9.7,7.8,1.3,,,,133.2
113,Devin Singletary,RB,HOU,9.5,1.5,3.4,6.5,8.8,0,7.2,-,6.3,4.6,23.1,19.8,13.2,5,12.5,21,,,,132.9
114,Josh Downs,WR,IND,9.4,6,7.7,13.7,5.4,15.7,13.1,23.5,14.2,2,6,-,9.3,4.4,6.2,4.9,,,,132.1
115,Justin Tucker,K,BAL,9.4,5,11,7,4,4,19,8,8,14,7,11,10,-,12,12,,,,132
115,-,DST,IND,9.4,11,9,9,3,4,1,5,-1,26,16,-,11,17,7,14,,,,132
117,Matt Gay,K,IND,9.3,3,8,24,1,12,10,8,10,11,6,-,10,14,0,13,,,,130
117,Jason Myers,K,SEA,9.3,8,7,18,6,-,9,9,6,3,21,15,9,5,5,9,,,,130
119,Brandin Cooks,WR,DAL,10,4.2,-,3.7,6.7,2.3,15,-,14.2,1.7,32.3,7.2,17.2,16.5,5.7,3,,,,129.7
120,Justin Jefferson,WR,MIN,18.5,24,24.9,27.9,26.5,5.8,-,-,-,-,-,-,-,-,4.7,15.4,,,,129.2
121,Ezekiel Elliott,RB,NE,9.2,7.3,1.3,9.7,4.2,7.8,11.9,9.1,3.6,6.2,10.8,-,7.2,13.2,27,9.6,,,,128.9
122,Tyler Boyd,WR,CIN,9.2,3,11.2,8.9,6.6,9.9,16.8,-,13.6,8.6,19.7,5.2,5.3,8.2,4.3,7.3,,,,128.6
123,-,DST,CLE,9.1,9,7,12,4,-,6,16,5,23,15,7,2,-4,12,13,,,,127
123,Jake Elliott,K,PHI,9.1,18,12,11,18,11,2,7,10,4,-,3,9,7,10,5,,,,127
125,Zach Wilson,QB,NYJ,10.6,9.2,11.4,6.4,19.2,9.6,10.9,-,12.1,7.2,14.9,7.7,-,-,19.2,-1,,,,126.9
126,Jaxon Smith-Njigba,WR,SEA,8.9,4.3,8.4,2,3.5,-,8.8,16.3,12.6,12.3,9.3,7,6.1,13.2,6.5,14.8,,,,125.1
127,-,DST,BUF,8.9,5,10,32,9,9,7,2,6,1,6,21,2,-,6,9,,,,125
127,-,DST,SF,8.9,13,5,8,2,16,7,2,4,-,20,9,14,4,9,12,,,,125
129,Alexander Mattison,RB,MIN,9.6,13.4,4.9,17.5,10.8,12.6,11.2,6.2,4.3,17.3,4.3,7,8.3,-,6.6,-,,,,124.4
130,Blake Grupe,K,NO,8.9,12,8,5,10,14,9,11,8,8,4,-,19,4,4,8,,,,124
130,Evan McPherson,K,CIN,8.9,4,6,19,3,12,7,-,9,6,11,10,5,13,10,9,,,,124
132,Dalton Schultz,TE,HOU,10.3,2.4,7.4,1.9,13.2,19.5,16.1,-,2.5,27,11.1,11.2,1.2,-,-,9.8,,,,123.3
133,Brandon McManus,K,JAC,8.8,8,10,5,14,6,17,8,16,-,3,10,14,8,3,1,,,,123
134,James Conner,RB,ARI,12.3,12,16.6,19.6,6.6,4.6,-,-,-,-,7.3,8.3,7.2,22.5,-,17.9,,,,122.6
135,Cairo Santos,K,CHI,8.7,7,7,4,4,17,9,8,1,5,12,17,14,-,11,6,,,,122
136,-,DST,NO,8.6,10,7,10,3,24,5,4,4,13,1,-,5,0,21,14,,,,121
137,Dalton Kincaid,TE,BUF,9.3,6.6,9.3,2.3,6.7,3.9,-,15.5,17.5,16.1,16.1,10.6,8.8,-,7.1,0,,,,120.5
138,Harrison Butker,K,KC,8.6,8,5,12,11,10,17,7,11,3,-,6,7,7,5,11,,,,120
139,Hunter Henry,TE,NE,8.6,16.6,17.2,3.7,9.1,0,1.7,4.7,5.8,13.9,5.1,-,0,3.5,19,19.6,,,,119.9
140,Taysom Hill,TE,NO,9.2,0.4,8.7,3.1,3.2,3,12.3,16.8,22.5,20.6,4.3,-,8.1,15.4,-,1.5,,,,119.9
141,-,DST,MIN,8.5,2,5,2,17,2,21,8,10,4,8,2,11,-,20,7,,,,119
142,Diontae Johnson,WR,PIT,11.9,7.8,-,-,-,-,-,12.9,16.5,22,2.7,3.6,9,13.3,14.7,16.2,,,,118.7
143,Mac Jones,QB,NE,10.8,25.1,14.7,13.3,2.7,0.4,6.9,20,13.2,12.1,8.3,-,1.6,-,-,-,,,,118.4
144,Rashid Shaheed,WR,NO,9.1,19,10.3,6,6.3,4.8,18.3,7.2,24.3,5.2,7.4,-,2.9,-,0,6.6,,,,118.3
145,Kyle Pitts,TE,ATL,8.4,6.4,3.5,8.7,4.1,15.7,14.3,7.7,6.5,9.6,6,-,4.2,9.1,14.7,6.7,,,,117.2
146,Nick Folk,K,TEN,8.4,18,10,4,11,12,10,-,4,11,6,2,7,9,8,5,,,,117
147,-,DST,NYJ,8.3,20,0,1,7,18,11,-,8,5,8,2,13,9,12,2,,,,116
147,-,DST,LV,8.3,3,-2,1,4,12,9,4,13,19,8,8,0,-,12,25,,,,116
147,Jahan Dotson,WR,WAS,8.3,9,5.2,4.1,12.7,6,0,9.3,24.8,16.9,0,11.3,10.2,4.3,-,2.2,,,,116
150,-,DST,PIT,8.2,4,26,11,-1,18,-,5,10,7,8,7,10,2,4,4,,,,115
150,Jason Sanders,K,MIA,8.2,14,6,10,2,8,6,6,7,2,-,11,12,10,9,12,,,,115
150,Wil Lutz,K,DEN,8.2,4,9,8,9,7,0,15,6,-,15,17,9,5,6,5,,,,115
150,Tyler Bass,K,BUF,8.2,13,8,15,14,2,2,5,6,4,2,17,12,-,8,7,,,,115
154,Josh Reynolds,WR,DET,8.8,12,23.6,-,9.9,17.6,8,6.3,0.3,-,3.5,2.1,9.5,2.2,13.4,6.1,,,,114.5
155,Kenny Pickett,QB,PIT,9.5,11.7,11.3,18.5,4.5,12.4,-,15.2,3.9,10.3,6.6,5.1,11.6,3.1,-,-,,,,114.2
156,Jake Moody,K,SF,8.1,14,14,12,5,6,5,7,5,-,10,9,7,6,4,10,,,,114
157,Tyjae Spears,RB,TEN,8.1,3.8,7.5,4.9,8.8,16.9,7.3,-,6.6,6.2,10,4.6,1.7,12.8,17.8,4.7,,,,113.6
158,Elijah Moore,WR,CLE,7.9,9.2,7.1,11.8,2,-,6.7,9.9,5,3.4,15.4,12,5.4,12.3,7.2,3.7,,,,111.1
159,Chase McLaughlin,K,TB,7.9,10,9,3,10,-,6,7,6,16,8,2,8,3,11,11,,,,110
160,Tee Higgins,WR,CIN,11,0,28.9,4.1,3.9,-,4,-,11.9,19,-,-,-,6.6,9.2,22.1,,,,109.7
161,Jerry Jeudy,WR,DEN,8.4,-,5.5,13.1,8.2,11,4.4,11.4,13,-,6.5,10.8,3.1,8.1,3.6,10.4,,,,109.1
162,Younghoe Koo,K,ATL,7.8,7,13,7,1,7,5,13,12,19,5,-,6,8,5,1,,,,109
162,Greg Zuerlein,K,NYJ,8.4,11,-,6,4,18,14,-,7,8,16,0,1,7,17,0,,,,109
164,Tutu Atwell,WR,LA,8.3,17.9,15.2,17.2,7.4,8.9,4,10.1,6.9,5.3,-,2.7,10.6,1.9,0,-,,,,108.1
165,AJ Dillon,RB,GB,8.3,5.6,7.3,3.3,1.1,13.6,-,11.5,10.2,5.3,9.1,10.1,11.1,9.7,9.8,-,,,,107.7
166,Will Levis,QB,TEN,13.4,-,-,-,-,-,-,-,26.6,9.7,7,12.5,7.1,11.5,17.6,15.5,,,,107.4
167,Matt Prater,K,ARI,7.6,12,9,13,4,2,11,5,5,0,18,6,0,8,-,14,,,,107
168,Cade Otton,TE,TB,7.6,3.9,10.1,2.6,10.3,-,2.5,9.3,8.7,23,3,8.9,8.5,0,9.6,6.4,,,,106.8
169,-,DST,CIN,7.6,7,6,11,5,16,12,-,9,6,6,2,5,3,11,7,,,,106
169,-,DST,KC,7.6,4,10,11,5,6,14,10,10,12,-,7,2,2,6,7,,,,106
171,Logan Thomas,TE,WAS,8.1,8.3,10.2,-,7.3,20.7,1.2,9.1,16.4,7.1,9,8.8,3.5,2,-,1.7,,,,105.3
172,Jonnu Smith,TE,ATL,7.5,0,8.7,8.7,15.5,10.7,13.6,5.7,2.3,21,1.1,-,0,3,6.7,8.1,,,,105.1
172,Dallas Goedert,TE,PHI,9.6,0,8.2,9.1,4.5,25.7,9.2,18.7,7.6,8,-,-,-,-,7,7.1,,,,105.1
174,Antonio Gibson,RB,WAS,8.1,0.9,8.3,3.4,3.6,10.4,8.6,5.1,9.2,12.6,16.5,-,6.7,11.2,-,8.5,,,,105
175,Chris Boswell,K,PIT,7.4,1,12,15,6,11,-,8,4,8,13,4,11,4,6,1,,,,104
176,Samaje Perine,RB,DEN,7.4,11.8,5.4,4.4,5.5,11.5,1.6,7.1,4.1,-,7.3,13.7,13.6,2.6,9.4,5.8,,,,103.8
177,Eddy Pineiro,K,CAR,7.4,5,13,11,9,6,3,-,10,8,7,5,6,4,7,9,,,,103
178,Tyler Conklin,TE,NYJ,7.3,1.2,10,5.6,9.8,10.7,5.4,-,0,12.6,14,3.8,7.3,6.5,9.7,5.8,,,,102.4
179,-,DST,CHI,7.3,0,2,0,1,10,10,17,1,0,7,9,14,-,14,17,,,,102
179,Cameron Dicker,K,LAC,7.3,12,10,4,6,-,5,7,16,11,9,8,4,6,1,3,,,,102
181,Christian Watson,WR,GB,11.3,-,-,-,10.5,11.6,-,5.7,6.3,4.7,4.3,10.2,20.4,27.6,-,-,,,,101.3
182,Jonathan Taylor,RB,IND,14.4,-,-,-,-,4.4,11.5,21,10.7,17.9,14.5,-,21.1,-,-,-,,,,101.1
