Date,Team,Acquired,Relinquished,Notes
1973-08-30,Saints,,• James Owens (a) / Jim Owens,placed on inactive list
1973-08-31,Chiefs,,• Mike Livingston,placed on IR
1973-08-31,Chiefs,• Maurice Moorman / Mo Moorman,,activated from IR
1973-09-03,Chargers,,• Ray White,"""deactivated with pinched nerve in neck"""
1973-09-04,Bears,,• Jim Gunn / Jimmy Gunn,"""deactivated"" due to injury"
1973-09-04,Bears,,• Randy Jackson (Belford),"""deactivated"" due to injury"
1973-09-04,Oilers,,• Lynn Dickey,placed on inactive list with lacerated finger
1973-09-04,Steelers,,• Tom Keating,"""deactivated"" because of knee injury"
1973-09-05,Cardinals,,• Bob Young (A.),"""deactivated"""
1973-09-05,Chiefs,,• Curley Culp,"""deactivated"""
1973-09-05,Colts,,• Ollie Smith,"""deactivated"""
1973-09-05,Colts,,• Tom Drougas,"""deactivated"""
1973-09-05,Dolphins,,• Howard Kindig,placed on IR with fractured thumb
1973-09-05,Giants,,• Brad Van Pelt,placed on IR
1973-09-05,Packers,,• Bob Kroll,placed on IR
1973-09-05,Rams,,• Cody Jones,"""deactivated"""
1973-09-05,Rams,,• Terry Nelson,"""deactivated"""
1973-09-10,Browns,,• Robert Pena / Bubba Pena,placed on injured list
1973-09-10,Cowboys,,• Bill Thomas (b),placed on IR
1973-09-10,Cowboys,,• Jean Fugett,placed on IR
1973-09-10,Cowboys,,• Rodney Wallace,placed on IR
1973-09-10,Eagles,,• Richard Harris (a) / Rich Harris,"""deactivated"""
1973-09-10,Jets,,• Bob Parish,placed on reserve list
1973-09-10,Jets,,• Bob Parrish,"""placed on reserve list"""
1973-09-11,49ers,,• Terry Beasley,placed on IR (with sprained right Achilles tendon?)
1973-09-11,Rams,,• Tim Stokes,placed on IR
1973-09-12,Saints,,• Doug Wyatt,placed on IR
1973-09-12,Saints,,• Ron Billingsley,placed on IR
1973-09-14,Colts,• Bruce Laird,,"""reactivated"""
1973-09-14,Colts,• Tom Drougas,,"""reactivated"""
1973-09-19,Cardinals,,• Bonnie Sloan,placed on inactive list
1973-09-19,Cowboys,,• Jim Arneson,placed on inactive list
1973-09-19,Cowboys,,• Larry Robinson (Cordill),placed on inactive list
1973-09-19,Giants,,• Ralph Thompson / Rocky Thompson,placed on IR (out for season)
1973-09-21,Lions,,• John Small,placed on IR
1973-09-21,Lions,• Bob Tatareck,,"""activated"""
1973-09-25,Cardinals,• Gary Hammond,,"""activated"""
1973-10-02,Cardinals,,• Leon Burns,placed on IR
1973-10-02,Cardinals,,• Willie Belton,placed on inactive list
1973-10-06,Eagles,,• Dennis Wirgowski,placed on inactive list
1973-10-06,Eagles,,• Greg Oliver,placed on inactive list
1973-10-06,Eagles,• Lee Bouggess,,"""activated"""
1973-10-06,Eagles,• Richard Harris (a) / Rich Harris,,"""activated"""
1973-10-06,Saints,,• Bob Davis (c)?,placed on inactive list
1973-10-06,Saints,,• Dick Palmer,placed on inactive list
1973-10-06,Saints,,• John Wood,placed on inactive list
1973-10-06,Saints,,• Lincoln Minor,placed on inactive list
1973-10-06,Saints,,• Nate Ramsey,placed on inactive list
1973-10-06,Saints,,• Paul Fersen,placed on inactive list
1973-10-06,Saints,• Bobby Scott,,"""activated"""
1973-10-06,Saints,• Ray Hester,,"""activated"""
1973-10-11,Lions,,• Charles Walton / Chuck Walton / Dick Walton,placed on IR
1973-10-19,Cardinals,,• Willie Belton,placed on IR
1973-10-19,Giants,,• Gary Ballman,placed on IR
1973-10-24,Jets,,• Dennis Cambal,placed on IR
1973-10-24,Redskins,,• Jimmie Jones,placed on IR
1973-10-24,Redskins,,• Moses Denton,placed on IR
1973-10-24,Redskins,,• Richie Petitbon,placed on IR
1973-10-24,Redskins,• Dennis Johnson (Leroy),,"""activated"""
1973-10-24,Redskins,• Larry Willis (Lee),,"""activated"""
1973-10-26,Giants,• Brad Van Pelt,,activated from IR
1973-10-26,Patriots,,• Bob Adams (b),placed on inactive list
1973-10-26,Patriots,,• Bob Reynolds (b),placed on IR
1973-10-26,Patriots,,• Nate Dorsey,placed on IR
1973-10-26,Patriots,• Claxton Welch,,"""activated"""
1973-10-27,Chargers,• Albert Dennis / Al Dennis (Rudolph),,"""activated"""
1973-10-27,Cowboys,,• Bill Truax / Billy Truax,placed on IR
1973-10-27,Saints,,• Dick Palmer,placed on inactive list
1973-10-27,Saints,,• Doug Winslow,placed on inactive list
1973-10-27,Saints,• Joe Profit,,placed on active list
1973-10-27,Saints,• John Beasley,,placed on active list
1973-10-30,Steelers,,• Terry Bradshaw,placed on IR with partially separated shoulder (date approximate)
1973-11-01,Giants,• Tom Gatewood,,"""activated"""
1973-11-02,Oilers,,• Ron Saul,placed on IR
1973-11-03,Cowboys,• Cyril Pinder,,"""activated"""
1973-11-03,Cowboys,• Rayfield Wright,,"""activated"""
1973-11-03,Cowboys,• Toni Fritsch,,"""activated"""
