Date,Team,Acquired,Relinquished,Notes
1987-09-14,Jets,,• Lester Lyles,placed on IR with sprained right knee
1987-09-14,Lions,,• Russell Erxleben,placed on IR
1987-09-15,Cowboys,,• Kelvin Martin,placed on IR
1987-09-16,Bills,,• Mark Pike,placed on IR with leg injury
1987-09-16,Buccaneers,,• Vito McKeever,placed on IR
1987-09-16,Dolphins,,• Reggie Roby,placed on IR
1987-09-16,Falcons,,• Bret Clark,placed on IR
1987-09-16,Patriots,,• Art Plunkett,placed on IR with torn ligament in knee
1987-09-16,Raiders,,• Steve Smith (Anthony),placed on IR with knee injury
1987-09-16,Redskins,,• Jess Atkinson,placed on IR with dislocated ankle (out for season)
1987-09-18,Steelers,,• Ken Woodard,placed on IR with knee injury
1987-09-19,Bengals,,• Tim McGee,placed on IR
1987-09-21,Giants,,• Lionel Manuel,placed on IR
1987-09-22,Packers,• Lorenzo Freeman,,activated from IR
1987-09-24,Saints,,• Hoby Brenner,placed on IR with separated shoulder
1987-09-24,Vikings,,• Gerald Robinson,placed on IR
1987-09-28,Giants,,• Chris Godfrey,placed on IR
1987-09-28,Saints,• James Campen,,activated from IR
1987-09-29,Cardinals,• Mark Garalczyk,,activated from IR
1987-09-30,Browns,,• John Askin,placed on IR recovering from surgery on knee
1987-09-30,Saints,• Michael Adams (a),,activated from IR
1987-10-01,Saints,• Gene Atkins,,activated from IR
1987-10-02,Saints,• Bill Leach,,activated from IR
1987-10-05,Seahawks,,• Fred Davis (b. 1964-07-18),placed on IR
1987-10-05,Seahawks,,• Rick Parros,placed on IR
1987-10-06,Dolphins,,• Rich Siler,placed on IR with ankle injury
1987-10-06,Packers,,• Tony Elliott,placed on IR
1987-10-07,Dolphins,,• John Swain,placed on IR
1987-10-08,Seahawks,,• John O'Callaghan,placed on IR
1987-10-09,Seahawks,,• Charles Wiley,placed on IR
1987-10-10,Vikings,,• Terry Love,placed on IR
1987-10-13,Redskins,,• Kit Lathrop,placed on IR
1987-10-14,Chargers,,• Chuck Faucette,placed on IR
1987-10-14,Packers,,• Don King (a)?,placed on IR
1987-10-14,Raiders,• Bob Buczkowski,,activated from non-football injury list
1987-10-15,Broncos,,• Steve Watson (Ross),placed on IR
1987-10-15,Packers,,• Greg Jensen,placed on IR
1987-10-16,Bears,,• Lorenzo Lynch,placed on IR
1987-10-17,49ers,• Doug DuBose,,activated from IR
1987-10-17,Bills,• Keith McKeller,,activated from IR
1987-10-17,Giants,• Adrian White,,activated from IR
1987-10-19,Bears,,• Glen Kozlowski,placed on IR
1987-10-19,Buccaneers,,• Pat Teague,placed on IR
1987-10-19,Raiders,,• John Gesek,placed on IR with knee injury
1987-10-19,Saints,,• Hoby Brenner,placed on IR
1987-10-20,Bills,,• Bob LeBlanc,placed on IR
1987-10-20,Bills,,• Reggie Bynum,placed on IR (out for season)
1987-10-20,Bills,,• Rick Schulte,placed on IR
1987-10-20,Bills,,• Steve Clark,placed on IR
1987-10-20,Chiefs,,• Fred Jones (Daniel),placed on IR
1987-10-20,Chiefs,,• Robert Parker (Lewis),placed on IR
1987-10-20,Lions,,• Chuck Steele,placed on IR
1987-10-20,Lions,,• Steve Boadway,placed on IR
1987-10-20,Redskins,,• Ed Rubbert,placed on IR
1987-10-20,Vikings,,• Jim Brim,placed on IR
1987-10-21,Rams,,• Jim Kalafat,placed on IR
1987-10-21,Rams,,• Kyle Borland,placed on IR with elbow injury
1987-10-22,Bears,• Jim McMahon,,activated from IR
1987-10-22,Bengals,• Tim McGee,,activated from IR
1987-10-23,Bills,• Wayne Davis (E.),,activated from IR
1987-10-23,Giants,• Odessa Turner,,activated from IR
1987-10-23,Giants,• Perry Williams (Lamar),,activated from IR
1987-10-23,Rams,• Duval Love,,activated from IR
1987-10-23,Redskins,• Mark May (Eric),,activated from IR
1987-10-23,Redskins,• Terry Orr,,activated from IR
1987-10-23,Seahawks,• Alonzo Mitz,,activated from IR
1987-10-24,Chargers,• Rod Bernstine,,activated from IR
1987-10-24,Cowboys,• Brian Baldinger,,activated from IR
1987-10-24,Dolphins,,• David Marshall,placed on inactive list
1987-10-24,Dolphins,,• Fred Banks,placed on inactive list
1987-10-24,Dolphins,,• Mike Smith (W.),placed on inactive list
1987-10-24,Dolphins,,• Ron Jaworski,placed on inactive list
1987-10-24,Dolphins,• Hugh Green,,activated from IR
1987-10-24,Dolphins,• Jon Giesler,,activated from IR
1987-10-24,Dolphins,• Reyna Thompson,,activated from IR
1987-10-24,Jets,,• Larry Robinson (Wayne),placed on IR
1987-10-24,Lions,• Carl Bland,,activated from IR
1987-10-24,Oilers,,• Craig Birdsong,placed on IR with ruptured hernia
1987-10-24,Packers,• Burnell Dent,,activated from IR
1987-10-24,Redskins,• Clint Didier,,activated from IR
1987-10-24,Saints,• Hoby Brenner,,activated from IR
1987-10-26,Colts,,• Mark Boyer,placed on IR with fractured arm
1987-10-26,Colts,,• Orlando Lowry,placed on IR
1987-10-26,Falcons,,• Wendell Cason,placed on IR
1987-10-26,Lions,,• Tony Office,placed on IR
1987-10-27,49ers,,• Mike Varajon,placed on IR
1987-10-27,Cowboys,,• E.J. Jones,placed on IR
1987-10-27,Cowboys,,• Jimmy Armstrong,placed on IR
1987-10-27,Rams,,• Dan Clark,placed on IR
1987-10-27,Redskins,,• Charles Jackson (Edward),placed on IR
1987-10-27,Redskins,,• Dan Benish,placed on IR
1987-10-27,Redskins,,• Rick Kehr / Rich Kehr,placed on IR
1987-10-28,Cardinals,,• Charles Vatterott / Charlie Vatterott,placed on IR
1987-10-28,Cardinals,,• Mark Duda,placed on IR
1987-10-28,Chargers,,• Blaise Winter,placed on IR
1987-10-28,Chargers,,• Gary Plummer,placed on IR
1987-10-28,Rams,,• Buford McGee,placed on IR
1987-10-30,Bengals,• Louis Breeden,,activated from IR
1987-10-30,Chiefs,,• Gary Baldinger,placed on IR with back injury
1987-10-30,Chiefs,• Ken McAlister,,activated from reserve/physically unable to perform list
1987-10-30,Saints,,• Robert Clark,placed on IR with fractured left leg (out for season)
1987-10-31,49ers,,• Guy McIntyre,placed on IR
1987-10-31,49ers,• Jeff Bregel,,activated from IR
1987-10-31,Broncos,• Tony Boddie,,activated from IR
1987-10-31,Buccaneers,• Harry Swayne,,activated from IR
1987-10-31,Dolphins,• John Offerdahl,,activated from IR
1987-10-31,Dolphins,• Reggie Roby,,activated from IR
1987-10-31,Dolphins,• Tom Brown,,activated from IR
1987-10-31,Falcons,• Brett Miller,,activated from IR
1987-10-31,Lions,• Dan Saleaumua,,activated from IR
1987-10-31,Lions,• Steve Baack,,activated from IR
1987-10-31,Packers,,• Keith Uecker,placed on IR
1987-10-31,Patriots,• Reggie Dupard,,activated from IR
1987-10-31,Rams,• Richard Brown (Solomon),,activated from IR
1987-10-31,Seahawks,,• David Wyman / Dave Wyman,deactivated
1987-10-31,Seahawks,,• Mark Moore,deactivated
1987-10-31,Seahawks,• David Hollis / Dave Hollis,,activated
1987-10-31,Seahawks,• Jimmy Teal,,activated
1987-10-31,Seahawks,• Sam Merriman,,activated
1987-10-31,Vikings,• Mike Mularkey,,activated from IR
1987-11-02,49ers,,• Kevin Dean,placed on IR with ankle injury (out for season)
1987-11-02,Cowboys,,• Garth Jax,placed on IR
1987-11-03,Bills,,• Richard Tharpe / Rich Tharpe,placed on IR
1987-11-03,Browns,,• Rickey Bolden,placed on IR with fractured ankle (out for season)
1987-11-03,Dolphins,,• Tom Brown,placed on IR with knee injury (out for season)
1987-11-03,Patriots,,• Tony Eason,placed on IR with separated shoulder (out for season)
1987-11-03,Redskins,,• Brian Davis,placed on IR with hamstring injury
1987-11-03,Redskins,,• Craig McEwen,placed on IR
1987-11-03,Redskins,,• Eric Coyle,placed on IR with back injury (out for season)
1987-11-04,Browns,,• Rickey Boldan,placed on IR
1987-11-04,Browns,,• Travis Tucker,placed on IR
1987-11-06,49ers,,• Tom Cousineau,placed on IR
1987-11-06,Bears,• Shaun Gayle,,activated from IR
1987-11-06,Colts,,• Chuck Banks,placed on IR (out for season)
1987-11-06,Colts,• Chris Goode,,activated from IR
1987-11-06,Lions,,• Reggie Rogers (O'Keith),placed on reserve/non-football illness list
1987-11-07,Buccaneers,• Bruce Hill,,activated from IR
1987-11-07,Dolphins,,• Larry Kolic,placed on inactive roster
1987-11-07,Giants,,• Mike Black (D.),placed on IR with foot injury
1987-11-07,Giants,• Jeff Hostetler,,activated from IR
1987-11-07,Giants,• Wayne Haddix,,activated from IR
1987-11-07,Packers,• Ezra Johnson,,activated from IR
1987-11-07,Patriots,• Tim Jordan,,activated from IR
1987-11-07,Patriots,• Trevor Matich,,activated from IR
1987-11-07,Rams,• Fred Stokes,,activated from IR
1987-11-07,Steelers,,• Jerry Quick,placed on inactive list
1987-11-07,Steelers,,• Joey Clinkscales,placed on inactive list
1987-11-07,Steelers,,• Preston Gothard,placed on inactive list
1987-11-07,Steelers,,• Steve Bono,placed on inactive list
1987-11-09,Vikings,• Chris Foote,,activated from IR
1987-11-10,Dolphins,,• Mike Lambrecht,placed on IR with sprained ankle
1987-11-10,Falcons,,• Kenny Flowers,placed on IR
1987-11-11,Broncos,• Stefan Humphries,,activated from IR
1987-11-11,Buccaneers,,• Rob Taylor,placed on IR
1987-11-11,Patriots,,• Don Blackmon,placed on IR
1987-11-11,Raiders,,• Bob Buczkowski,placed on IR with ankle injury
1987-11-12,Cardinals,,• (Leonard) Ray Brown Jr.,placed on IR with dislocated finger
1987-11-13,Chiefs,,• Walt Arnold,placed on IR
1987-11-13,Jets,• Joe Klecko,,activated from physically unable to perform list
1987-11-13,Rams,,• Jon Embree,placed on IR with elbow injury (out for season)
1987-11-14,Bengals,,• Bruce Kozerski,placed on IR
1987-11-14,Bengals,• Doug Aronson,,activated from IR
1987-11-14,Bills,,• Eugene Marve,placed on IR
1987-11-14,Bills,• Mark Pike,,activated from IR
1987-11-14,Buccaneers,,• Cliff Austin,placed on IR with knee injury (out for season)
1987-11-14,Buccaneers,• Ray Isom,,activated from IR
1987-11-14,Cowboys,• Kelvin Martin,,activated from IR
1987-11-14,Dolphins,,• Mark Duper,placed on inactive roster
1987-11-14,Dolphins,,• Ron Davenport,placed on inactive roster
1987-11-14,Dolphins,• Dan Johnson,,activated
1987-11-14,Dolphins,• Fred Banks,,activated
1987-11-14,Dolphins,• Larry Kolic,,activated
1987-11-14,Patriots,• Art Plunkett,,activated
1987-11-14,Redskins,,• Russ Grimm,placed on IR with knee injury
1987-11-16,Bears,• Dick Chapura,,activated from IR
1987-11-16,Jets,,• Jerry Holmes,placed on IR
1987-11-16,Seahawks,,• Louis Clark,placed on IR with pulled hamstring (out for season)
1987-11-17,Falcons,,• Tim Green,placed on IR with knee injury (out for season)
1987-11-17,Packers,,• Chris Mandeville,placed on IR
1987-11-18,Chiefs,,• Ken McAlister,placed on IR
1987-11-18,Steelers,,• Preston Gothard,placed on IR
1987-11-18,Vikings,,• Najee Mustafaa,placed on IR
1987-11-19,Browns,,• Reggie Camp,placed on IR with knee injury
1987-11-20,49ers,,• George Cooper,placed on IR
1987-11-20,49ers,• Carlton Williamson,,activated from IR
1987-11-20,49ers,• Todd Shell,,activated from IR
1987-11-21,Chargers,• Keith Baldwin,,activated from IR
1987-11-21,Dolphins,,• Fred Banks,placed on inactive list
1987-11-21,Dolphins,,• Larry Kolic,placed on inactive roster
1987-11-21,Dolphins,,• Reyna Thompson,placed on inactive list
1987-11-21,Dolphins,• Mark Duper,,activated
1987-11-21,Dolphins,• Mike Smith (W.),,activated
1987-11-21,Dolphins,• Ron Davenport,,activated
1987-11-21,Raiders,,• Mervyn Fernandez,placed on IR with shoulder injury (out for season)
1987-11-21,Steelers,,• Louis Lipps,placed on IR with left hamstring injury
1987-11-21,Steelers,• Ken Woodard,,activated from IR
1987-11-23,Patriots,,• Raymond Clayborn,placed on IR with knee injury (out for season)
1987-11-23,Redskins,,• Ed Simmons (Lamar),placed on IR
1987-11-24,Broncos,,• Dennis Smith (b. 1959-02-03),placed on IR
1987-11-24,Broncos,,• Steve Sewell,placed on IR
1987-11-24,Oilers,,• Toby Caston,placed on IR with foot and arch injuries (out for season)
1987-11-25,Bills,,• Lawrence Johnson,placed on IR
1987-11-25,Saints,,• Antonio Gibson,placed on IR with fractured arm
1987-11-25,Vikings,• Gerald Robinson,,activated from IR
1987-11-27,Bills,,• Tony Brown,placed on IR
1987-11-27,Chargers,,• Curtis Rouse,placed on inactive list
1987-11-27,Chargers,,• John Taylor,placed on inactive list
1987-11-27,Chargers,,• Les Miller (Paul),placed on inactive list
1987-11-27,Chargers,,• Mark Vlasic,placed on inactive list
1987-11-27,Chargers,• Gary Plummer,,activated from IR
1987-11-28,Buccaneers,• Tom McHale,,activated from IR
1987-11-28,Falcons,• Elbert Shelley,,activated from IR
1987-11-28,Oilers,• Robert Abraham,,activated from IR
1987-11-28,Redskins,• Mark Rypien,,activated from IR
1987-11-28,Redskins,• Rick Kehr / Rich Kehr,,activated from IR
1987-11-30,Seahawks,• Roland Barbay,,activated from IR
1987-12-01,Lions,,• Jeff Chadwick,placed on IR with hand injury (out for season)
1987-12-02,Cowboys,,• Mark Tuinei,placed on IR
1987-12-02,Falcons,,• Ken Whisenhunt,placed on IR
1987-12-03,Patriots,,• Steve Moore (a),placed on IR
1987-12-03,Raiders,,• Cris Riehm / Chris Riehm,placed on IR
1987-12-03,Raiders,,• Jeff Barnes,placed on IR (out for season)
1987-12-03,Raiders,,• Steve Smith (Anthony),placed on IR
1987-12-04,Colts,• Mark Boyer,,activated from IR
1987-12-04,Dolphins,,• Chris Conlin,placed on IR with knee injury (out for season)
1987-12-04,Jets,,• Kerry Glenn,placed on IR with knee injury (out for season)
1987-12-04,Rams,,• Greg Bell,placed on IR with shoulder injury (out for season)
1987-12-04,Rams,• Hugh Millen,,activated from IR
1987-12-04,Rams,• Mike Schad,,activated from IR
1987-12-05,49ers,• Brent Jones,,activated from IR
1987-12-05,Cardinals,,• Curtis Greer,placed on IR
1987-12-05,Cardinals,,• Earl Ferrell,placed on IR with knee injury (out for season)
1987-12-05,Cardinals,• David Galloway,,activated from IR
1987-12-05,Cardinals,• Jay Novacek,,activated from IR
1987-12-05,Chiefs,,• Todd Blackledge,placed on inactive list
1987-12-05,Chiefs,• Gary Baldinger,,activated from IR
1987-12-05,Cowboys,,• Gordon Banks (G.),placed on IR with foot injury (out for season)
1987-12-05,Packers,• Keith Uecker,,activated from IR
1987-12-05,Raiders,• John Gesek,,activated from IR
1987-12-05,Redskins,,• Clarence Vaughn,placed on IR
1987-12-05,Redskins,• Brian Davis,,activated from IR
1987-12-07,Giants,,• Jim Burt (P.),placed on IR with back injury (out for season)
1987-12-07,Lions,• Reggie Rogers (O'Keith),,activated from reserve/non-football illness list
1987-12-08,Bills,,• Mark Pike,placed on IR with foot injury
1987-12-08,Cardinals,• Tim McDonald,,activated
1987-12-08,Cowboys,,• Eugene Lockhart,placed on IR with fractured right fubula (out for season)
1987-12-08,Falcons,,• Buddy Curry,placed on IR
1987-12-08,Rams,,• Vince Newsome,placed on IR
1987-12-08,Rams,• Donald Evans,,activated from IR
1987-12-09,Chiefs,,• John Alt,placed on IR with knee injury (out for season)
1987-12-09,Colts,,• Leonard Coleman,placed on IR
1987-12-09,Dolphins,,• Dwight Stephenson,placed on IR
1987-12-09,Jets,,• Lance Mehl,placed on IR
1987-12-09,Jets,,• Russell Carter,placed on IR with separated shoulder (out for season)
1987-12-09,Rams,,• Vince Newsome,placed on IR
1987-12-09,Redskins,,• Art Monk,placed on IR
1987-12-11,Bengals,• Bruce Kozerski,,activated from IR
1987-12-11,Browns,,• Jeff Jaeger,deactivated
1987-12-11,Browns,• Matt Bahr,,activated from physically unable to perform list
1987-12-11,Colts,• Roy Banks,,activated from IR
1987-12-12,Broncos,• Sam Graddy,,activated from IR
1987-12-12,Cardinals,,• Joe Bostic,placed on IR with knee injury (out for season)
1987-12-12,Cardinals,• (Leonard) Ray Brown Jr.,,activated from IR
1987-12-12,Oilers,,• Robert Abraham,placed on IR with hamstring injury
1987-12-12,Packers,• Lee Morris,,activated from IR
1987-12-12,Raiders,• Bob Buczkowski,,activated from IR
1987-12-12,Redskins,,• Darrick Brilz,placed on IR with pinched nerve in neck (out for season)
1987-12-12,Redskins,• Clarence Verdin,,activated from IR
1987-12-13,Redskins,• Tim Jessie,,activated from IR
1987-12-14,Bears,,• Jim Althoff,placed on IR
1987-12-15,Dolphins,,• Glenn Blackwood,placed on IR with knee injury (out for season)
1987-12-15,Giants,,• Leonard Marshall,placed on IR with dislocated left wrist
1987-12-16,Bears,,• Bryan Wagner,placed on IR
1987-12-16,Bears,• Tommy Barnhardt,,signed free agent
1987-12-16,Giants,• Mike Black (D.),,activated from IR
1987-12-17,49ers,,• Doug DuBose,placed on IR
1987-12-17,49ers,• Riki Ellison / Riki Gray,,activated from IR
1987-12-17,Eagles,,• Ron Baker,placed on IR with knee injury (out for season)
1987-12-17,Eagles,• Ben Tamburello,,activated from IR
1987-12-18,49ers,,• Jeff Bregel,placed on IR with back injury (out for season)
1987-12-18,Broncos,,• Randy Robbins,placed on IR
1987-12-18,Broncos,• Tyrone Braxton,,activated from IR
1987-12-18,Falcons,,• Larry Emery,placed on IR
1987-12-18,Falcons,• Reggie Wilkes,,activated
1987-12-18,Patriots,,• Bruce Hansen,placed on IR
1987-12-18,Patriots,• Pete Brock,,activated
1987-12-18,Seahawks,,• Blair Bush,placed on IR with fractured hand (out for season)
1987-12-18,Seahawks,• Stan Eisenhooth,,activated from IR
1987-12-18,Steelers,,• Calvin Sweeney,placed on IR with shoulder injury
1987-12-18,Steelers,• Louis Lipps,,activated from IR
1987-12-19,Jets,• Jerry Holmes,,activated from IR
